id,tariffrate_id,machine_specific_detail_id,first_audit_price,first_audit_price_without_startup,next_audit_price,next_audit_integrity_overcharge
1482,30,53,238.44,249.79,173.40,254.95
1484,30,54,291.08,291.08,189.92,286.95
1486,30,55,301.40,334.43,205.40,319.98
1488,30,56,322.05,334.43,221.92,286.95
1490,30,57,332.37,394.29,221.92,286.95
1492,30,58,342.69,464.49,254.95,336.49
1494,30,59,353.00,571.83,254.95,336.49
1496,30,60,363.33,699.82,254.95,336.49
1498,30,61,374.69,873.23,286.95,385.00
1500,30,62,385.00,1095.15,286.95,385.00
1502,30,63,395.33,1372.81,286.95,385.00
1504,30,64,410.81,1721.68,286.95,385.00
1506,30,65,421.13,2142.81,319.98,434.55
1508,30,66,436.61,2663.03,319.98,434.55
1510,30,67,463.45,3277.19,319.98,434.55
1512,30,68,489.26,4010.04,319.98,434.55
1514,30,69,525.38,4873.97,353.00,483.06
1516,30,70,578.02,5893.77,353.00,483.06
1518,30,71,630.66,5893.77,353.00,483.06
1520,30,72,82.58,82.58,56.77,77.41
1522,30,73,451.06,0.00,321.01,0.00
1524,30,74,369.52,369.52,286.95,286.95
1529,35,1,341.32,0.00,253.93,0.00
1532,35,2,341.32,0.00,253.93,0.00
1535,35,3,264.21,0.00,156.27,0.00
1538,35,4,315.61,0.00,221.03,0.00
1541,35,5,341.32,0.00,253.93,0.00
1544,35,6,315.61,0.00,221.03,0.00
1547,35,7,341.32,0.00,253.93,0.00
1550,35,8,315.61,0.00,221.03,0.00
1553,35,9,263.17,0.00,156.27,0.00
1556,35,10,337.20,0.00,213.83,0.00
1559,35,11,376.26,0.00,262.16,0.00
1562,35,12,289.92,0.00,189.16,0.00
1565,35,13,376.26,0.00,262.16,0.00
1568,35,14,401.98,0.00,295.05,0.00
1571,35,15,488.33,0.00,368.04,0.00
1574,35,16,289.92,0.00,189.16,0.00
1577,35,17,315.61,0.00,221.03,0.00
1580,35,18,341.32,0.00,253.93,0.00
1583,35,19,229.25,0.00,179.91,0.00
1586,35,20,255.98,0.00,212.81,0.00
1589,35,21,281.68,0.00,245.70,0.00
1592,35,22,137.76,0.00,145.99,0.00
1595,35,23,211.77,0.00,123.36,0.00
1598,35,24,264.21,0.00,156.27,0.00
1601,35,25,289.92,0.00,189.16,0.00
1604,35,26,289.92,0.00,189.16,0.00
1607,35,27,315.61,0.00,221.03,0.00
1610,35,28,341.32,0.00,253.93,0.00
1613,35,29,341.32,0.00,253.93,0.00
1616,35,30,393.75,0.00,318.70,0.00
1619,35,31,368.04,0.00,285.80,0.00
1622,35,32,368.04,0.00,285.80,0.00
1625,35,33,264.16,0.00,156.27,0.00
1628,35,34,419.45,0.00,351.59,0.00
1631,35,35,315.61,0.00,221.03,0.00
1634,35,36,368.04,0.00,285.80,0.00
1637,35,37,315.61,0.00,221.03,0.00
1640,35,38,368.04,0.00,285.80,0.00
1643,35,39,419.45,0.00,351.59,0.00
1646,35,40,419.45,0.00,351.59,0.00
1649,35,41,211.77,226.17,123.36,123.36
1652,35,42,211.77,226.17,123.36,156.27
1655,35,43,237.49,246.74,156.27,189.16
1658,35,44,252.89,289.92,156.27,221.03
1661,35,45,302.25,392.71,156.27,253.93
1664,35,46,328.98,458.51,156.27,285.80
1667,35,47,393.75,745.35,189.16,318.70
1670,35,48,406.09,1129.83,189.16,351.59
1673,35,49,419.45,1664.43,189.16,383.46
1676,35,50,445.15,2370.69,221.03,416.37
1679,35,51,510.94,2788.08,221.03,481.13
1682,35,52,575.71,3254.82,221.03,545.90
1685,35,53,237.49,248.79,172.71,253.93
1688,35,54,289.92,289.92,189.16,285.80
1691,35,55,300.19,333.09,204.58,318.70
1694,35,56,320.76,333.09,221.03,285.80
1697,35,57,331.04,392.71,221.03,285.80
1700,35,58,341.32,462.63,253.93,335.14
1703,35,59,351.59,569.54,253.93,335.14
1706,35,60,361.88,697.02,253.93,335.14
1709,35,61,373.18,869.74,285.80,383.46
1712,35,62,383.46,1090.77,285.80,383.46
1715,35,63,393.75,1367.32,285.80,383.46
1718,35,64,409.17,1714.79,285.80,383.46
1721,35,65,419.45,2134.24,318.70,432.81
1724,35,66,434.86,2652.38,318.70,432.81
1727,35,67,461.60,3264.08,318.70,432.81
1730,35,68,487.30,3994.00,318.70,432.81
1733,35,69,523.28,4854.47,351.59,481.13
1736,35,70,575.71,5870.19,351.59,481.13
1739,35,71,628.14,5870.19,351.59,481.13
1742,35,72,82.25,82.25,56.54,77.10
1745,35,73,449.26,0.00,319.73,0.00
1748,35,74,368.04,368.04,285.80,285.80
